mangled,demangled,signature,address
_ZN5Actor15reloadHardcodedENS_20InitializationMethodERK20VariantParameterList,"Actor::reloadHardcoded(Actor::InitializationMethod,VariantParameterList const&)",__int64 __fastcall sub_1173(__int64 a1),0x1173
_ZN5Actor21reloadHardcodedClientENS_20InitializationMethodERK20VariantParameterList,"Actor::reloadHardcodedClient(Actor::InitializationMethod,VariantParameterList const&)",__int64 __fastcall sub_24CA9E4(__int64 a1),0x24CA9E4
_ZN5Actor20initializeComponentsENS_20InitializationMethodERK20VariantParameterList,"Actor::initializeComponents(Actor::InitializationMethod,VariantParameterList const&)",__int64 __fastcall sub_24CAB08(__int64 a1),0x24CAB08
_ZN5Actor16reloadComponentsENS_20InitializationMethodERK20VariantParameterList,"Actor::reloadComponents(Actor::InitializationMethod,VariantParameterList const&)",__int64 __fastcall sub_24CCAFC(__int64 a1),0x24CCAFC
_ZN5Actor23_serverInitItemStackIdsEv,Actor::_serverInitItemStackIds(void),__int64 __fastcall sub_24CCECC(__int64 a1),0x24CCECC
_ZN5Actor14_doInitialMoveEv,Actor::_doInitialMove(void),__int64 __fastcall sub_24CD0E8(__int64 a1),0x24CD0E8
_ZNK5Actor12hasComponentERK12HashedString,Actor::hasComponent(HashedString const&),__int64 __fastcall sub_24CDD08(__int64 a1),0x24CDD08
_ZN5ActorD2Ev,Actor::~Actor(),__int64 __fastcall sub_24C9334(__int64 a1),0x24C9334
_ZN5ActorD0Ev,Actor::~Actor(),__int64 __fastcall sub_24C968C(__int64 a1),0x24C968C
_ZN5Actor5resetEv,Actor::reset(void),__int64 __fastcall sub_24DD5DC(__int64 a1),0x24DD5DC
_ZN5Actor20getOnDeathExperienceEv,Actor::getOnDeathExperience(void),__int64 __fastcall sub_24D0B8C(__int64 a1),0x24D0B8C
_ZN5Actor18getOwnerEntityTypeEv,Actor::getOwnerEntityType(void),__int64 __fastcall sub_24E7A7C(__int64 a1),0x24E7A7C
_ZN5Actor6removeEv,Actor::remove(void),__int64 __fastcall sub_24D48D0(__int64 a1),0x24D48D0
_ZN5Actor6setPosERK4Vec3,Actor::setPos(Vec3 const&),__int64 __fastcall sub_24D3CF0(__int64 a1),0x24D3CF0
_ZNK5Actor33isRuntimePredictedMovementEnabledEv,Actor::isRuntimePredictedMovementEnabled(void),__int64 __fastcall sub_24D0F18(__int64 a1),0x24D0F18
_ZNK5Actor26getPredictedMovementValuesEv,Actor::getPredictedMovementValues(void),__int64 __fastcall sub_24D15D4(__int64 a1),0x24D15D4
_ZNK5Actor6getPosEv,Actor::getPos(void),__int64 __fastcall sub_24D3F9C(__int64 a1),0x24D3F9C
_ZNK5Actor9getPosOldEv,Actor::getPosOld(void),__int64 __fastcall sub_24D3FA4(__int64 a1),0x24D3FA4
_ZNK5Actor18getPosExtrapolatedEf,Actor::getPosExtrapolated(float),__int64 __fastcall sub_24D3FAC(__int64 a1),0x24D3FAC
_ZNK5Actor12getAttachPosE13ActorLocationf,"Actor::getAttachPos(ActorLocation,float)",__int64 __fastcall sub_24D428C(__int64 a1),0x24D428C
_ZNK5Actor12getFiringPosEv,Actor::getFiringPos(void),__int64 __fastcall sub_24D4504(__int64 a1),0x24D4504
_ZN5Actor6setRotERK4Vec2,Actor::setRot(Vec2 const&),__int64 __fastcall sub_24D4D0C(__int64 a1),0x24D4D0C
_ZN5Actor4moveERK4Vec3,Actor::move(Vec3 const&),__int64 __fastcall sub_24D27C8(__int64 a1),0x24D27C8
_ZNK5Actor4moveER19IActorMovementProxyRK4Vec3,"Actor::move(IActorMovementProxy &,Vec3 const&)",__int64 __fastcall sub_24D15DC(__int64 a1),0x24D15DC
_ZNK5Actor29getInterpolatedRidingPositionEf,Actor::getInterpolatedRidingPosition(float),__int64 __fastcall sub_24ECFB0(__int64 a1),0x24ECFB0
_ZNK5Actor22getInterpolatedBodyRotEf,Actor::getInterpolatedBodyRot(float),__int64 __fastcall sub_24ED0FC(__int64 a1),0x24ED0FC
_ZNK5Actor22getInterpolatedHeadRotEf,Actor::getInterpolatedHeadRot(float),__int64 __fastcall sub_24ED144(__int64 a1),0x24ED144
_ZNK5Actor22getInterpolatedBodyYawEf,Actor::getInterpolatedBodyYaw(float),__int64 __fastcall sub_24ED14C(__int64 a1),0x24ED14C
_ZNK5Actor29getYawSpeedInDegreesPerSecondEv,Actor::getYawSpeedInDegreesPerSecond(void),__int64 __fastcall sub_24D4DE8(__int64 a1),0x24D4DE8
_ZNK5Actor28getInterpolatedWalkAnimSpeedEf,Actor::getInterpolatedWalkAnimSpeed(float),__int64 __fastcall sub_24D4E10(__int64 a1),0x24D4E10
_ZNK5Actor27getInterpolatedRidingOffsetEf,Actor::getInterpolatedRidingOffset(float),__int64 __fastcall sub_24D4E2C(__int64 a1),0x24D4E2C
_ZN5Actor20checkBlockCollisionsERK4AABBSt8functionIFvR11BlockSourceRK5BlockRK8BlockPosRS_EE,"Actor::checkBlockCollisions(AABB const&,std::function<void ()(BlockSource &,Block const&,BlockPos const&,Actor&)>)",__int64 __fastcall sub_24E9438(__int64 a1),0x24E9438
_ZN5Actor20checkBlockCollisionsEv,Actor::checkBlockCollisions(void),__int64 __fastcall sub_24E909C(__int64 a1),0x24E909C
_ZNK5Actor12isFireImmuneEv,Actor::isFireImmune(void),__int64 __fastcall sub_24E9374(__int64 a1),0x24E9374
_ZNK5Actor19breaksFallingBlocksEv,Actor::breaksFallingBlocks(void),__int64 __fastcall sub_24F1AA8(__int64 a1),0x24F1AA8
_ZN5Actor15blockedByShieldERK17ActorDamageSourceRS_,"Actor::blockedByShield(ActorDamageSource const&,Actor&)",__int64 __fastcall sub_24F1AB0(__int64 a1),0x24F1AB0
_ZN5Actor10teleportToERK4Vec3bii,"Actor::teleportTo(Vec3 const&,bool,int,int)",__int64 __fastcall sub_24D9B8C(__int64 a1),0x24D9B8C
_ZN5Actor13tryTeleportToERK4Vec3bbii,"Actor::tryTeleportTo(Vec3 const&,bool,bool,int,int)",__int64 __fastcall sub_24D9CCC(__int64 a1),0x24D9CCC
_ZN5Actor19chorusFruitTeleportER4Vec3,Actor::chorusFruitTeleport(Vec3 &),__int64 __fastcall sub_24D9FB0(__int64 a1),0x24D9FB0
_ZN5Actor6lerpToERK4Vec3RK4Vec2i,"Actor::lerpTo(Vec3 const&,Vec2 const&,int)",__int64 __fastcall sub_24DD804(__int64 a1),0x24DD804
_ZN5Actor10lerpMotionERK4Vec3,Actor::lerpMotion(Vec3 const&),__int64 __fastcall sub_24DE040(__int64 a1),0x24DE040
_ZN5Actor23tryCreateAddActorPacketEv,Actor::tryCreateAddActorPacket(void),__int64 __fastcall sub_24D4E40(__int64 a1),0x24D4E40
_ZN5Actor10normalTickEv,Actor::normalTick(void),__int64 __fastcall sub_24D5004(__int64 a1),0x24D5004
_ZN5Actor8baseTickEv,Actor::baseTick(void),__int64 __fastcall sub_24D567C(__int64 a1),0x24D567C
_ZN5Actor8rideTickEv,Actor::rideTick(void),__int64 __fastcall sub_7E3D8A8(__int64 a1),0x7E3D8A8
_ZN5Actor13positionRiderERS_f,"Actor::positionRider(Actor&,float)",__int64 __fastcall sub_24D73B4(__int64 a1),0x24D73B4
_ZN5Actor15getRidingHeightEv,Actor::getRidingHeight(void),__int64 __fastcall sub_24D7C8C(__int64 a1),0x24D7C8C
_ZN5Actor11startRidingERS_,Actor::startRiding(Actor&),__int64 __fastcall sub_24D88B0(__int64 a1),0x24D88B0
_ZN5Actor8addRiderERS_,Actor::addRider(Actor&),__int64 __fastcall sub_24D7C94(__int64 a1),0x24D7C94
_ZN5Actor17flagRiderToRemoveERS_,Actor::flagRiderToRemove(Actor&),__int64 __fastcall sub_24D82F4(__int64 a1),0x24D82F4
_ZNK5Actor10getExitTipERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE9InputMode,"Actor::getExitTip(std::string const&,InputMode)",__int64 __fastcall sub_24D8364(__int64 a1),0x24D8364
_ZNK5Actor10intersectsERK4Vec3S2_,"Actor::intersects(Vec3 const&,Vec3 const&)",__int64 __fastcall sub_24DD644(__int64 a1),0x24DD644
_ZN5Actor6isFreeERK4Vec3f,"Actor::isFree(Vec3 const&,float)",__int64 __fastcall sub_24D0D44(__int64 a1),0x24D0D44
_ZN5Actor6isFreeERK4Vec3,Actor::isFree(Vec3 const&),__int64 __fastcall sub_24D0DF4(__int64 a1),0x24D0DF4
_ZNK5Actor8isInWallEv,Actor::isInWall(void),__int64 __fastcall sub_24D071C(__int64 a1),0x24D071C
_ZNK5Actor11isInvisibleEv,Actor::isInvisible(void),__int64 __fastcall sub_24E7708(__int64 a1),0x24E7708
_ZNK5Actor14canShowNameTagEv,Actor::canShowNameTag(void),__int64 __fastcall sub_24E7730(__int64 a1),0x24E7730
_ZNK5Actor18canExistInPeacefulEv,Actor::canExistInPeaceful(void),__int64 __fastcall sub_24E7700(__int64 a1),0x24E7700
_ZN5Actor17setNameTagVisibleEb,Actor::setNameTagVisible(bool),__int64 __fastcall sub_24E7758(__int64 a1),0x24E7758
_ZNK5Actor10getNameTagB5cxx11Ev,Actor::getNameTag(void),__int64 __fastcall sub_24E7768(__int64 a1),0x24E7768
_ZNK5Actor16getNameTagAsHashEv,Actor::getNameTagAsHash(void),__int64 __fastcall sub_24E7774(__int64 a1),0x24E7774
_ZNK5Actor19getFormattedNameTagB5cxx11Ev,Actor::getFormattedNameTag(void),__int64 __fastcall sub_24E777C(__int64 a1),0x24E777C
_ZN5Actor22filterFormattedNameTagERK18UIProfanityContext,Actor::filterFormattedNameTag(UIProfanityContext const&),__int64 __fastcall sub_24E77B0(__int64 a1),0x24E77B0
_ZN5Actor10setNameTagERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,Actor::setNameTag(std::string const&),__int64 __fastcall sub_24E7888(__int64 a1),0x24E7888
_ZNK5Actor20getAlwaysShowNameTagEv,Actor::getAlwaysShowNameTag(void),__int64 __fastcall sub_24E79C4(__int64 a1),0x24E79C4
_ZN5Actor11setScoreTagERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,Actor::setScoreTag(std::string const&),__int64 __fastcall sub_24E79CC(__int64 a1),0x24E79CC
_ZNK5Actor11getScoreTagB5cxx11Ev,Actor::getScoreTag(void),__int64 __fastcall sub_24E7A04(__int64 a1),0x24E7A04
_ZNK5Actor9isInWaterEv,Actor::isInWater(void),__int64 __fastcall sub_24D090C(__int64 a1),0x24D090C
_ZNK5Actor15hasEnteredWaterEv,Actor::hasEnteredWater(void),__int64 __fastcall sub_24D0914(__int64 a1),0x24D0914
_ZNK5Actor17isImmersedInWaterEv,Actor::isImmersedInWater(void),__int64 __fastcall sub_24D07D4(__int64 a1),0x24D07D4
_ZNK5Actor15isInWaterOrRainEv,Actor::isInWaterOrRain(void),__int64 __fastcall sub_24D091C(__int64 a1),0x24D091C
_ZNK5Actor8isInLavaEv,Actor::isInLava(void),__int64 __fastcall sub_24D0C24(__int64 a1),0x24D0C24
_ZNK5Actor13isUnderLiquidE12MaterialType,Actor::isUnderLiquid(MaterialType),__int64 __fastcall sub_24D38F4(__int64 a1),0x24D38F4
_ZNK5Actor11isOverWaterEv,Actor::isOverWater(void),__int64 __fastcall sub_24D39C0(__int64 a1),0x24D39C0
_ZN5Actor34setBlockMovementSlowdownMultiplierERK4Vec3,Actor::setBlockMovementSlowdownMultiplier(Vec3 const&),__int64 __fastcall sub_24D3858(__int64 a1),0x24D3858
_ZN5Actor36resetBlockMovementSlowdownMultiplierEv,Actor::resetBlockMovementSlowdownMultiplier(void),__int64 __fastcall sub_24D38D4(__int64 a1),0x24D38D4
_ZNK5Actor15getCameraOffsetEv,Actor::getCameraOffset(void),__int64 __fastcall sub_24D9844(__int64 a1),0x24D9844
_ZN5Actor19getShadowHeightOffsEv,Actor::getShadowHeightOffs(void),__int64 __fastcall sub_24DD7DC(__int64 a1),0x24DD7DC
_ZNK5Actor15getShadowRadiusEv,Actor::getShadowRadius(void),__int64 __fastcall sub_24DD7EC(__int64 a1),0x24DD7EC
_ZN5Actor17getHeadLookVectorEf,Actor::getHeadLookVector(float),__int64 __fastcall sub_1E56F34(__int64 a1),0x1E56F34
_ZNK5Actor15canSeeInvisibleEv,Actor::canSeeInvisible(void),__int64 __fastcall sub_1E56F38(__int64 a1),0x1E56F38
_ZNK5Actor6canSeeERKS_,Actor::canSee(Actor const&),__int64 __fastcall sub_24E8E6C(__int64 a1),0x24E8E6C
_ZNK5Actor6canSeeERK4Vec3,Actor::canSee(Vec3 const&),__int64 __fastcall sub_24E8F3C(__int64 a1),0x24E8F3C
_ZN5Actor8isSkyLitEf,Actor::isSkyLit(float),__int64 __fastcall sub_24D4540(__int64 a1),0x24D4540
_ZNK5Actor13getBrightnessEf,Actor::getBrightness(float),__int64 __fastcall sub_24D46A0(__int64 a1),0x24D46A0
_ZN5Actor22interactPreventDefaultEv,Actor::interactPreventDefault(void),__int64 __fastcall sub_24E76F8(__int64 a1),0x24E76F8
_ZN5Actor11playerTouchER6Player,Actor::playerTouch(Player &),__int64 __fastcall sub_1305(__int64 a1),0x1305
_ZN5Actor19onAboveBubbleColumnEb,Actor::onAboveBubbleColumn(bool),__int64 __fastcall sub_24DA28C(__int64 a1),0x24DA28C
_ZN5Actor20onInsideBubbleColumnEb,Actor::onInsideBubbleColumn(bool),__int64 __fastcall sub_24DA310(__int64 a1),0x24DA310
_ZNK5Actor10isImmobileEv,Actor::isImmobile(void),__int64 __fastcall sub_24E7A10(__int64 a1),0x24E7A10
_ZN5Actor8isSilentEv,Actor::isSilent(void),__int64 __fastcall sub_24E7A4C(__int64 a1),0x24E7A4C
_ZN5Actor10isPickableEv,Actor::isPickable(void),__int64 __fastcall sub_24DD6B0(__int64 a1),0x24DD6B0
_ZNK5Actor10isFishableEv,Actor::isFishable(void),__int64 __fastcall sub_24DD6B8(__int64 a1),0x24DD6B8
_ZNK5Actor10isSleepingEv,Actor::isSleeping(void),__int64 __fastcall sub_24DD6C0(__int64 a1),0x24DD6C0
_ZN5Actor11isShootableEv,Actor::isShootable(void),__int64 __fastcall sub_24DD6C8(__int64 a1),0x24DD6C8
_ZN5Actor11setSneakingEb,Actor::setSneaking(bool),__int64 __fastcall sub_24DEFD0(__int64 a1),0x24DEFD0
_ZNK5Actor10isBlockingEv,Actor::isBlocking(void),__int64 __fastcall sub_24DF02C(__int64 a1),0x24DF02C
_ZNK5Actor15isDamageBlockedERK17ActorDamageSource,Actor::isDamageBlocked(ActorDamageSource const&),__int64 __fastcall sub_24DF034(__int64 a1),0x24DF034
_ZNK5Actor7isAliveEv,Actor::isAlive(void),__int64 __fastcall sub_24DD7F4(__int64 a1),0x24DD7F4
