mangled,demangled,signature,address
_ZN5Actor7despawnEv,Actor::despawn(void),__int64 __fastcall sub_24E6DBC(__int64 a1),0x24E6DBC
_ZN5Actor6killedERS_,Actor::killed(Actor&),__int64 __fastcall sub_24E6EC0(__int64 a1),0x24E6EC0
_ZN5Actor14awardKillScoreERS_i,"Actor::awardKillScore(Actor&,int)",__int64 __fastcall sub_1308(__int64 a1),0x1308
_ZN5Actor8setArmorE9ArmorSlotRK9ItemStack,"Actor::setArmor(ArmorSlot,ItemStack const&)",__int64 __fastcall sub_24DE1A8(__int64 a1),0x24DE1A8
_ZNK5Actor8getArmorE9ArmorSlot,Actor::getArmor(ArmorSlot),__int64 __fastcall sub_24DE3A0(__int64 a1),0x24DE3A0
_ZNK5Actor26getArmorMaterialTypeInSlotE9ArmorSlot,Actor::getArmorMaterialTypeInSlot(ArmorSlot),__int64 __fastcall sub_24DE3DC(__int64 a1),0x24DE3DC
_ZNK5Actor33getArmorMaterialTextureTypeInSlotE9ArmorSlot,Actor::getArmorMaterialTextureTypeInSlot(ArmorSlot),__int64 __fastcall sub_24DE3E4(__int64 a1),0x24DE3E4
_ZNK5Actor19getArmorColorInSlotE9ArmorSloti,"Actor::getArmorColorInSlot(ArmorSlot,int)",__int64 __fastcall sub_24DE3EC(__int64 a1),0x24DE3EC
_ZNK5Actor15getEquippedSlotE13EquipmentSlot,Actor::getEquippedSlot(EquipmentSlot),__int64 __fastcall sub_24DEF7C(__int64 a1),0x24DEF7C
_ZN5Actor15setEquippedSlotE13EquipmentSlotRK9ItemStack,"Actor::setEquippedSlot(EquipmentSlot,ItemStack const&)",__int64 __fastcall sub_1310(__int64 a1),0x1310
_ZNK5Actor14getCarriedItemEv,Actor::getCarriedItem(void),__int64 __fastcall sub_24DE3F4(__int64 a1),0x24DE3F4
_ZN5Actor14setCarriedItemERK9ItemStack,Actor::setCarriedItem(ItemStack const&),__int64 __fastcall sub_24DE410(__int64 a1),0x24DE410
_ZN5Actor14setOffhandSlotERK9ItemStack,Actor::setOffhandSlot(ItemStack const&),__int64 __fastcall sub_24DE790(__int64 a1),0x24DE790
_ZNK5Actor16getEquippedTotemEv,Actor::getEquippedTotem(void),__int64 __fastcall sub_24DEB90(__int64 a1),0x24DEB90
_ZN5Actor12consumeTotemEv,Actor::consumeTotem(void),__int64 __fastcall sub_24DEC74(__int64 a1),0x24DEC74
_ZN5Actor4saveER11CompoundTag,Actor::save(CompoundTag &),__int64 __fastcall sub_24DF100(__int64 a1),0x24DF100
_ZN5Actor13saveWithoutIdER11CompoundTag,Actor::saveWithoutId(CompoundTag &),__int64 __fastcall sub_24E02D0(__int64 a1),0x24E02D0
_ZN5Actor4loadERK11CompoundTagR14DataLoadHelper,"Actor::load(CompoundTag const&,DataLoadHelper &)",__int64 __fastcall sub_24E2544(__int64 a1),0x24E2544
_ZN5Actor9loadLinksERK11CompoundTagRSt6vectorI9ActorLinkSaIS4_EER14DataLoadHelper,"Actor::loadLinks(CompoundTag const&,std::vector<ActorLink> &,DataLoadHelper &)",__int64 __fastcall sub_24E6398(__int64 a1),0x24E6398
_ZNK5Actor15getEntityTypeIdEv,Actor::getEntityTypeId(void),__int64 __fastcall sub_24E65D0(__int64 a1),0x24E65D0
_ZNK5Actor19queryEntityRendererEv,Actor::queryEntityRenderer(void),__int64 __fastcall sub_7E3DC70(__int64 a1),0x7E3DC70
_ZNK5Actor17getSourceUniqueIDEv,Actor::getSourceUniqueID(void),__int64 __fastcall sub_24E7A74(__int64 a1),0x24E7A74
_ZN5Actor9setOnFireEi,Actor::setOnFire(int),__int64 __fastcall sub_24E9670(__int64 a1),0x24E9670
_ZN5Actor14extinguishFireEv,Actor::extinguishFire(void),__int64 __fastcall sub_24E96D0(__int64 a1),0x24E96D0
_ZN5Actor16thawFreezeEffectEv,Actor::thawFreezeEffect(void),__int64 __fastcall sub_24E9764(__int64 a1),0x24E9764
_ZNK5Actor18getHandleWaterAABBEv,Actor::getHandleWaterAABB(void),__int64 __fastcall sub_24ED1A4(__int64 a1),0x24ED1A4
_ZN5Actor18handleInsidePortalERK8BlockPos,Actor::handleInsidePortal(BlockPos const&),__int64 __fastcall sub_24ED208(__int64 a1),0x24ED208
_ZNK5Actor17getPortalCooldownEv,Actor::getPortalCooldown(void),__int64 __fastcall sub_24ED298(__int64 a1),0x24ED298
_ZNK5Actor17getPortalWaitTimeEv,Actor::getPortalWaitTime(void),__int64 __fastcall sub_24ED2A0(__int64 a1),0x24ED2A0
_ZNK5Actor14getDimensionIdEv,Actor::getDimensionId(void),__int64 __fastcall sub_24ED2B0(__int64 a1),0x24ED2B0
_ZNK5Actor19canChangeDimensionsEv,Actor::canChangeDimensions(void),__int64 __fastcall sub_24ED2B8(__int64 a1),0x24ED2B8
_ZN5Actor15changeDimensionE11AutomaticIDI9DimensioniEb,"Actor::changeDimension(AutomaticID<Dimension,int>,bool)",__int64 __fastcall sub_24ED2C0(__int64 a1),0x24ED2C0
_ZN5Actor15changeDimensionERK21ChangeDimensionPacket,Actor::changeDimension(ChangeDimensionPacket const&),__int64 __fastcall sub_1312(__int64 a1),0x1312
_ZNK5Actor20getControllingPlayerEv,Actor::getControllingPlayer(void),__int64 __fastcall sub_24ED588(__int64 a1),0x24ED588
_ZN5Actor15checkFallDamageEfb,"Actor::checkFallDamage(float,bool)",__int64 __fastcall sub_24D940C(__int64 a1),0x24D940C
_ZN5Actor15causeFallDamageEff,"Actor::causeFallDamage(float,float)",__int64 __fastcall sub_24D972C(__int64 a1),0x24D972C
_ZN5Actor26handleFallDistanceOnServerEffb,"Actor::handleFallDistanceOnServer(float,float,bool)",__int64 __fastcall sub_24D97BC(__int64 a1),0x24D97BC
_ZN5Actor21playSynchronizedSoundE15LevelSoundEventRK4Vec3RK5Blockb,"Actor::playSynchronizedSound(LevelSoundEvent,Vec3 const&,Block const&,bool)",__int64 __fastcall sub_24E7DD4(__int64 a1),0x24E7DD4
_ZN5Actor21playSynchronizedSoundE15LevelSoundEventRK4Vec3ib,"Actor::playSynchronizedSound(LevelSoundEvent,Vec3 const&,int,bool)",__int64 __fastcall sub_24E7E28(__int64 a1),0x24E7E28
_ZN5Actor19onSynchedDataUpdateEi,Actor::onSynchedDataUpdate(int),__int64 __fastcall sub_24E7EE8(__int64 a1),0x24E7EE8
_ZNK5Actor11canAddRiderERS_,Actor::canAddRider(Actor&),__int64 __fastcall sub_24E986C(__int64 a1),0x24E986C
_ZNK5Actor13canPickupItemERK9ItemStack,Actor::canPickupItem(ItemStack const&),__int64 __fastcall sub_24E9AF4(__int64 a1),0x24E9AF4
_ZNK5Actor22canBePulledIntoVehicleEv,Actor::canBePulledIntoVehicle(void),__int64 __fastcall sub_24E9BAC(__int64 a1),0x24E9BAC
_ZNK5Actor9inCaravanEv,Actor::inCaravan(void),__int64 __fastcall sub_24E9C34(__int64 a1),0x24E9C34
_ZN5Actor15isLeashableTypeEv,Actor::isLeashableType(void),__int64 __fastcall sub_1E56F4C(__int64 a1),0x1E56F4C
_ZN5Actor9tickLeashEv,Actor::tickLeash(void),__int64 __fastcall sub_24EA354(__int64 a1),0x24EA354
_ZN5Actor24sendMotionPacketIfNeededEv,Actor::sendMotionPacketIfNeeded(void),__int64 __fastcall sub_24EA5D4(__int64 a1),0x24EA5D4
_ZNK5Actor23canSynchronizeNewEntityEv,Actor::canSynchronizeNewEntity(void),__int64 __fastcall sub_24EAA48(__int64 a1),0x24EAA48
_ZN5Actor10stopRidingEbbb,"Actor::stopRiding(bool,bool,bool)",__int64 __fastcall sub_24D89A4(__int64 a1),0x24D89A4
_ZN5Actor13startSwimmingEv,Actor::startSwimming(void),__int64 __fastcall sub_7E3DD58(__int64 a1),0x7E3DD58
_ZN5Actor12stopSwimmingEv,Actor::stopSwimming(void),__int64 __fastcall sub_24D8C44(__int64 a1),0x24D8C44
_ZNK5Actor14buildDebugInfoERNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,Actor::buildDebugInfo(std::string &),__int64 __fastcall sub_1304(__int64 a1),0x1304
_ZNK5Actor25getCommandPermissionLevelEv,Actor::getCommandPermissionLevel(void),__int64 __fastcall sub_24D78B8(__int64 a1),0x24D78B8
